iter	Passed	Remaining
818	2306	509
819	2308	506
820	2310	503
821	2312	500
822	2315	497
823	2316	494
824	2324	493
825	2326	490
826	2329	487
827	2330	484
828	2332	481
829	2333	477
830	2344	476
831	2346	473
832	2347	470
833	2349	467
834	2355	465
835	2357	462
836	2361	459
837	2362	456
838	2364	453
839	2378	453
840	2380	450
841	2386	447
842	2390	445
843	2392	442
844	2410	442
845	2417	440
846	2419	437
847	2421	434
848	2422	430
849	2424	427
850	2439	427
851	2440	424
852	2446	421
853	2450	418
854	2451	415
855	2453	412
856	2454	409
857	2456	406
858	2461	404
859	2464	401
860	2466	398
861	2468	395
862	2469	392
863	2470	388
864	2472	385
865	2475	383
866	2476	379
867	2478	376
868	2479	373
869	2481	370
870	2482	367
871	2483	364
872	2486	361
873	2499	360
874	2500	357
875	2502	354
876	2505	351
877	2508	348
878	2511	345
879	2513	342
880	2514	339
881	2515	336
882	2516	333
883	2517	330
884	2532	329
885	2533	326
886	2535	323
887	2537	320
888	2541	317
889	2543	314
890	2544	311
891	2546	308
892	2547	305
893	2548	302
894	2556	299
895	2559	297
896	2561	294
897	2562	291
898	2563	287
899	2564	284
900	2566	281
901	2568	279
902	2570	276
903	2573	273
904	2574	270
905	2575	267
906	2576	264
907	2577	261
908	2578	258
909	2582	255
910	2583	252
911	2588	249
912	2589	246
913	2590	243
914	2591	240
915	2593	237
916	2594	234
917	2596	231
918	2599	229
919	2601	226
920	2603	223
921	2604	220
922	2606	217
923	2607	214
924	2608	211
925	2609	208
926	2620	206
927	2622	203
928	2623	200
929	2624	197
930	2625	194
931	2627	191
932	2629	188
933	2632	185
934	2634	183
935	2635	180
936	2636	177
937	2637	174
938	2638	171
939	2640	168
940	2649	166
941	2650	163
942	2652	160
943	2653	157
944	2654	154
945	2655	151
946	2657	148
947	2659	145
948	2662	143
949	2664	140
950	2665	137
951	2666	134
952	2667	131
953	2668	128
954	2669	125
955	2671	122
956	2676	120
957	2677	117
958	2678	114
959	2679	111
960	2680	108
961	2683	105
962	2685	103
963	2687	100
964	2689	97
965	2690	94
966	2691	91
967	2692	89
968	2693	86
969	2694	83
970	2703	80
971	2704	77
972	2705	75
973	2707	72
974	2708	69
975	2709	66
976	2711	63
977	2713	61
978	2714	58
979	2716	55
980	2719	52
981	2720	49
982	2721	47
983	2722	44
984	2723	41
985	2724	38
986	2734	36
987	2735	33
988	2736	30
989	2737	27
990	2738	24
991	2740	22
992	2744	19
993	2747	16
994	2749	13
995	2750	11
996	2751	8
997	2752	5
998	2753	2
999	2754	0
